wristX,wristY,wristZ,class_type
1636.290231,1914.491041,-0.0001818,B
1150.864288,2087.691426,-0.00023194,B
1175.848246,1938.729584,-0.000172411,B
643.7328458,1195.65023,-0.000151497,B
1263.135225,1817.339659,-0.000226204,B
824.7793913,1611.604452,-0.000303768,B
614.4495606,1005.452363,-0.000158022,B
2589.217229,1830.133006,-3.83E-06,B
1094.543075,1727.692898,-0.00015143,B
731.5925878,1626.144642,-0.000122272,B
370.8697484,3079.427948,-9.09E-06,B
899.3505642,2414.694672,-0.000263839,B
599.5606631,1138.836094,-0.000185075,B
1163.362712,1877.780557,-0.000238199,B
1182.011291,1830.624938,-0.00022399,B
1182.011291,1830.624938,-0.00022399,B